platform,contest_name,start_date,duration_min
LeetCode,Weekly Contest 395,2024-04-28 08:00:00,90.0
LeetCode,Biweekly Contest 129,2024-04-27 20:00:00,90.0
LeetCode,Weekly Contest 394,2024-04-21 08:00:00,90.0
LeetCode,Weekly Contest 393,2024-04-14 08:00:00,90.0
LeetCode,Biweekly Contest 128,2024-04-13 20:00:00,90.0
LeetCode,Weekly Contest 392,2024-04-07 08:00:00,90.0
LeetCode,Weekly Contest 391,2024-03-31 08:00:00,90.0
LeetCode,Biweekly Contest 127,2024-03-30 20:00:00,90.0
LeetCode,Weekly Contest 390,2024-03-24 08:00:00,90.0
LeetCode,Weekly Contest 389,2024-03-17 08:00:00,90.0
LeetCode,Biweekly Contest 126,2024-03-16 20:00:00,90.0
LeetCode,Weekly Contest 388,2024-03-10 08:00:00,90.0
LeetCode,Weekly Contest 387,2024-03-03 08:00:00,90.0
LeetCode,Biweekly Contest 125,2024-03-02 20:00:00,90.0
LeetCode,Weekly Contest 386,2024-02-25 08:00:00,90.0
LeetCode,Weekly Contest 385,2024-02-18 08:00:00,90.0
LeetCode,Biweekly Contest 124,2024-02-17 20:00:00,90.0
LeetCode,Weekly Contest 384,2024-02-11 08:00:00,90.0
LeetCode,Weekly Contest 383,2024-02-04 08:00:00,90.0
LeetCode,Biweekly Contest 123,2024-02-03 20:00:00,90.0
LeetCode,Weekly Contest 382,2024-01-28 08:00:00,90.0
LeetCode,Weekly Contest 381,2024-01-21 08:00:00,90.0
LeetCode,Biweekly Contest 122,2024-01-20 20:00:00,90.0
LeetCode,Weekly Contest 380,2024-01-14 08:00:00,90.0
LeetCode,Weekly Contest 379,2024-01-07 08:00:00,90.0
LeetCode,Biweekly Contest 121,2024-01-06 20:00:00,90.0
LeetCode,Weekly Contest 378,2023-12-31 08:00:00,90.0
LeetCode,Weekly Contest 377,2023-12-24 08:00:00,90.0
LeetCode,Biweekly Contest 120,2023-12-23 20:00:00,90.0
LeetCode,Weekly Contest 376,2023-12-17 08:00:00,90.0
LeetCode,Weekly Contest 375,2023-12-10 08:00:00,90.0
LeetCode,Biweekly Contest 119,2023-12-09 20:00:00,90.0
LeetCode,Weekly Contest 374,2023-12-03 08:00:00,90.0
LeetCode,Weekly Contest 373,2023-11-26 08:00:00,90.0
LeetCode,Biweekly Contest 118,2023-11-25 20:00:00,90.0
LeetCode,Weekly Contest 372,2023-11-19 08:00:00,90.0
LeetCode,Weekly Contest 371,2023-11-12 08:00:00,90.0
LeetCode,Biweekly Contest 117,2023-11-11 20:00:00,90.0
LeetCode,Weekly Contest 370,2023-11-05 08:00:00,90.0
LeetCode,Weekly Contest 369,2023-10-29 08:00:00,90.0
LeetCode,Biweekly Contest 116,2023-10-28 20:00:00,90.0
LeetCode,Weekly Contest 368,2023-10-22 08:00:00,90.0
LeetCode,Weekly Contest 367,2023-10-15 08:00:00,90.0
LeetCode,Biweekly Contest 115,2023-10-14 20:00:00,90.0
LeetCode,Weekly Contest 366,2023-10-08 08:00:00,90.0
